序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
350,HK0369,永泰地产,永泰地产有限公司,百慕达,46950.00,106910.00,520,1973-02-07,--,,房地产,物业发展、物业投资及管理及服务式住宅物业投资及管理。
351,HK0370,国华,国华集团控股有限公司,百慕达,20845.10,65.60,45,1996-03-26,--,,消费电子,燃油、电子设备及其他商品之买卖，融资租赁业务，借贷业务，国际航空及海上货运及提供物流服务，及证券买卖。
352,HK0371,北控水务集团,北控水务集团有限公司,百慕达,1000875.30,277024.20,15234,1993-04-19,--,,水务,建造污水及再生水处理厂、提供污水处理服务及技术及咨询服务、分销及销售自来水、授权使用有关污水处理之技术知识。
353,HK0372,保德国际发展,保德国际发展企业有限公司,百慕达,--,--,21,1992-02-13,--,,资产管理,提供贷款融资服务；投资于可换股票据；投资于其他金融资产及证券买卖；投资物业租赁、出租汽车及管理服务。
354,HK0373,联合集团,联合集团有限公司,香港,243060.00,250790.00,5338,1973-01-12,--,,信贷,投资、经纪及金融、私人财务、物业发展及投资，企业及其他业务。
355,HK0374,四洲集团,四洲集团有限公司,开曼群岛,--,--,3800,1993-08-25,--,,包装食品,投资控股、制造及销售零食、糖果、饮料、冷冻食品、面食、火腿及火腿有关产品，以及经营餐厅。
356,HK0375,YGM Trading,YGM贸易有限公司,香港,--,--,1000,1988-01-25,--,,服装配套,成衣生产、批发及零售、拥有及特许使用商标、物业投资以及安全印刷、一般商业印务及买卖印刷产品。
357,HK0376,云锋金融,云锋金融集团有限公司,香港,1549.20,-18627.90,230,1987-07-17,--,,证券,证券经纪、配售及包销、提供顾问及咨询服务，以及投资控股。
358,HK0377,华君控股,华君控股有限公司,百慕达,--,--,3453,1993-04-19,--,,包装印刷,销售及制造高质彩色包装产品、瓦通盒、图书、小册子及各项纸制品；提供融资；证券投资；物业投资；融资租赁；贸易及医疗管理。
359,HK0378,五龙动力,五龙动力有限公司,百慕达,--,--,104,1986-09-10,--,,资产管理,融资、证券买卖及资产投资。
360,HK0379,恒嘉融资租赁,中国恒嘉融资租赁集团有限公司,开曼群岛,5492.00,468.10,57,2002-11-13,--,,融资租赁,在中国提供融资租赁及相关咨询服务、股本证券买卖、物业投资、投资码头及物流服务业务以及投资控股。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
361,HK0380,冠力国际,冠力国际有限公司,百慕达,27487.80,1749.40,175,2000-12-21,--,,管材,经营主要是喉管和管件的建筑材料。
362,HK0381,侨雄国际,侨雄国际控股有限公司,开曼群岛,7215.70,-3848.40,547,2001-01-22,--,,玩具,玩具及礼品制造及销售、天然资源勘探以及投资于水果种植相关业务。
363,HK0382,,威灵控股有限公司,香港,--,--,9786,1993-12-20,--,,电子元器件,制造、分销及销售家用电器之电机及电子电器产品。
364,HK0383,中国医疗网络,中国医疗网络有限公司,百慕达,110064.10,-14782.80,2120,1991-08-01,--,,其他,证券买卖及投资；财务服务；物业投资；物业开发；医疗；以及护老。
365,HK0384,中国燃气,中国燃气控股有限公司,百慕达,--,--,41000,1995-10-20,--,,燃气,销售管道燃气、燃气接驳、销售LPG及销售燃煤及气体设备。
366,HK0385,建联集团,建联集团有限公司,百慕达,281984.00,8824.00,1680,1993-10-15,--,,房屋建筑,塑胶原料及化工原料产品贸易，提供楼宇相关之承造服务，进行上盖建筑工程，进行地基打桩及营造工程，分销航空系统及高科技产品，投资控股。
367,HK0386,中国石油化工股份,中国石油化工股份有限公司,中国北京市,126880300.00,5418500.00,446225,2000-10-19,--,,油气开采,(1)勘探、开发及生产原油及天然气;(2)炼油、运输、储存及营销原油及石油产品;及(3)生产及销售化工产品。
368,HK0387,力丰,力丰(集团)有限公司,百慕达,43029.70,1787.50,268,2003-07-10,--,,电子元器件,金属加工机械、测量仪器、切削工具及电子设备之买卖、安装及提供有关之售后服务。
369,HK0388,香港交易所,香港交易及结算所有限公司,香港,738500.00,502500.00,1698,2000-06-27,--,,其他金融,拥有并经营香港唯一的股票交易所及一家期货交易所以及结算所，以及在英国经营一家交易所及一家结算所买卖及结算基本金属期货及期权合约。
370,HK0389,通天酒业,中国通天酒业集团有限公司,百慕达,16048.80,2266.70,568,2009-11-19,--,,葡萄酒,制造及销售葡萄酒产品的业务。
371,HK0390,中国中铁,中国中铁股份有限公司,中国北京市,31610200.00,941200.00,282085,2007-12-07,--,,建筑工程,基建建设、勘察设计与咨询服务、工程设备和零部件制造、房地产开发以及其他业务。
372,HK0391,美亚娱乐资讯,美亚娱乐资讯集团有限公司,百慕达,--,--,159,1993-10-18,--,,影视,电视业务、电影放映、电影版权授出及转授、以影音产品形式销售及发行之电影及节目、艺人管理、电影院业务、物业投资、影视及视频网站业务。
373,HK0392,北京控股,北京控股有限公司,香港,3434504.20,472834.10,48000,1997-05-29,--,,燃气,分销及销售管道天然气，生产、分销和销售啤酒产品，兴建污水及自来水处理厂及其他基础设施，固废处理。
374,HK0393,旭日企业,旭日企业有限公司,百慕达,137266.90,4020.70,5800,1996-09-17,--,,服装配套,经营休闲服之零售、出口、生产及金融投资。
375,HK0395,中国智能集团,中国智能集团控股有限公司,开曼群岛,1055.80,-1194.50,82,2002-10-28,--,,电商及互联网,销售软件与提供O2O咨询服务；及提供电子广告平台及相关解决方案。
376,HK0396,兴利,兴利(香港)控股有限公司,百慕达,13623.50,224.80,1110,2009-06-22,--,,家具家居,设计、制造、销售及市场推广住宅家具（主要包括木制家具、梳化及床垫）及进行其本身品牌及产品设计的许可经营。
377,HK0397,君阳金融,君阳金融控股有限公司,百慕达,1039.30,-20259.80,30,1993-10-13,--,,证券,资产投资；绿色能源；借贷；及金融服务。
378,HK0398,东方表行集团,东方表行集团有限公司,百慕达,--,--,590,1993-10-12,--,,钟表,手表经销。
379,HK0399,领航医药生物科技,领航医药及生物科技有限公司,百慕达,--,--,24,2000-08-23,--,,化妆品,提供基因测试服务、分销生物产业产品、美容设备及产品贸易、证券投资以及研发及商品化服口胰岛素产品。
380,HK0400,科通芯城,科通芯城集团,开曼群岛,296116.80,24248.30,798,2014-07-18,--,,电商及互联网,经营中国的IC及其他电子元器件交易型电商平台。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
381,HK0401,万嘉集团,万嘉集团控股有限公司,开曼群岛,--,--,983,2013-10-11,--,,医药商业,于中国从事药品批发及分销业务及药品零售连锁店业务。
382,HK0402,天下图控股,天下图控股有限公司,百慕达,--,--,472,2006-03-14,--,,软件开发,在中国从事地理信息业务，包括航拍及遥感影像数据获取；提供空间地理数据的处理服务；软件及解决方案；与开发及销售高端测绘设备。
383,HK0403,星光集团,星光集团有限公司,百慕达,--,--,5500,1993-03-03,--,,包装印刷,印刷及制造包装材料、标签，及纸类制品，包括环保纸类产品。
384,HK0404,新昌集团控股,新昌集团控股有限公司,百慕达,245006.80,-64240.60,2269,1991-08-14,--,,房屋建筑,楼宇建造、土木工程、机电安装工程、室内装饰及特殊项目、物业发展及投资，以及提供物业及设施管理服务。
385,HK0406,有利集团,有利集团有限公司,百慕达,--,--,2900,1991-08-29,--,,房屋建筑,楼宇建筑、水喉渠务、屋宇翻新、维修及装修工程、机电安装、建筑材料贸易、物业投资及发展以及酒店营运、电脑软件开发以及建筑设计及工程服务。
386,HK0408,叶氏化工集团,叶氏化工集团有限公司,开曼群岛,614952.60,12352.40,3697,1991-08-22,--,,化工用品,制造及买卖溶剂、涂料、油墨及润滑油业务。
387,HK0410,SOHO中国,SOHO中国有限公司,开曼群岛,84842.60,173915.10,2219,2007-10-08,--,,地产投资,投资房地产开发、物业租赁和物业经营。
388,HK0411,南顺,南顺(香港)有限公司,香港,537427.30,32637.90,1637,1972-10-31,--,,面粉,制造及分销一系列食品，包括面粉及食用油、家用及工业用清洁用品。
389,HK0412,中国山东高速金融,中国山东高速金融集团有限公司,百慕达,--,--,113,1992-04-15,--,,融资租赁,证券投资、放债及融资租赁。
390,HK0413,南华集团控股,南华集团控股有限公司,开曼群岛,147094.70,1047.20,29000,1987-06-16,--,,玩具,玩具、鞋类、电子玩具及皮革制品制造和贸易、物业投资及发展和农林业务。
391,HK0416,锦州银行,锦州银行股份有限公司,中国辽宁省,--,433974.10,4482,2015-12-07,--,,银行,提供公司及零售存款、贷款和垫款、支付结算及其他银行服务。
392,HK0417,谢瑞麟,谢瑞麟珠宝(国际)有限公司,百慕达,--,--,3080,1987-06-30,--,,珠宝首饰,制造，销售，推广珠宝产品及提供服务。
393,HK0418,方正控股,方正控股有限公司,百慕达,43775.20,-821.40,1178,1995-12-21,--,,软件开发,软件开发、系统集成及信息产品分销。
394,HK0419,华谊腾讯娱乐,华谊腾讯娱乐有限公司,开曼群岛,5808.40,-2345.90,532,1987-07-08,--,,健康管理,提供线上线下健康及养生服务；及传媒业务。
395,HK0420,福田实业,福田实业(集团)有限公司,香港,376011.70,6865.30,10170,1988-04-20,--,,纺织品,制造及销售色布、缝纫线、纱及成衣。
396,HK0422,越南制造加工出口,越南制造加工出口(控股)有限公司,开曼群岛,--,--,1573,2007-12-20,--,,汽车零部件,产销机车有关、相关备用零件及引擎，以及提供机车维修服务。
397,HK0423,经济日报集团,香港经济日报集团有限公司,开曼群岛,--,--,1451,2005-08-03,--,,出版,印刷及出版报章、杂志与书籍、提供电子财经及物业市场资讯服务、提供招聘广告及培训服务，以及营运优质生活网站。
398,HK0425,敏实集团,敏实集团有限公司,开曼群岛,599259.60,101832.00,14902,2005-12-01,--,,汽车零部件,设计、开发、制造、加工和销售汽车车身零部件和模具。
399,HK0426,万华媒体,万华媒体集团有限公司,开曼群岛,2257.00,-537.00,213,2005-10-18,--,,出版,在大中华地区从事媒体业务，包括（但不限于）杂志出版及数码媒体业务。
400,HK0428,汇嘉中国,汇嘉中国控股有限公司,--,538.00,-3745.40,4,--,--,,--,投资于在认可证券交易所上市之证券及非上市投资项目。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
401,HK0430,东方网库,东方网库控股有限公司,百慕达,-2617.30,-3175.60,12,1993-03-30,--,,资产管理,物业投资；及买卖证券及投资控股。
402,HK0431,大中华金融,大中华金融控股有限公司,百慕达,5810.60,-5144.70,80,1992-09-16,--,,综合,投资控股、工业用物业发展、消费品的一般贸易、证券经纪、保险经纪、资产管理，以及贷款融资业务（包括贷款融资、贷款转介及咨询服务）。
403,HK0432,盈大地产,盈科大衍地产发展有限公司,百慕达,16500.00,-19800.00,283,1993-09-20,--,,房地产,于亚洲发展及管理优质物业及基建项目，以及投资顶级物业。
404,HK0433,北方矿业,北方矿业股份有限公司,百慕达,31699.60,-12536.60,380,1995-10-12,--,,其他金属矿物,勘探及开采、矿产资源贸易、物业租赁业务及物业管理业务。
405,HK0434,博雅互动,博雅互动国际有限公司,开曼群岛,28423.50,15377.80,806,2013-11-12,--,,软件开发,开发及运营网络棋牌类游戏。
406,HK0436,新宇环保,新宇环保集团有限公司,开曼群岛,24911.50,4746.50,508,2000-05-18,--,,环保工程,提供环保工业及医疗废物处置服务；提供环保电镀污水处置服务予环保电镀专业区；及投资塑料染色业务。
407,HK0438,彩虹新能源,彩虹集团新能源股份有限公司,中国陕西省,116728.09,22116.90,2296,2004-12-20,--,,新能源,制造及销售发光材料、液晶体产品、太阳能光伏玻璃产品及其他。
408,HK0439,光启科学,光启科学有限公司,百慕达,9107.00,-18152.40,792,1992-03-11,--,,卫星及无线通信,提供未来技术服务、制造及买卖纸包装产品及物业投资。
409,HK0440,大新金融,大新金融集团有限公司,香港,--,--,2999,1987-11-05,--,,银行,在香港，澳门及中国提供银行、保险、金融及其他相关服务。
410,HK0442,海福德集团,海福德集团控股有限公司,开曼群岛,--,--,338,2015-03-11,--,,珠宝首饰,珠宝及相关产品的制造及销售。
411,HK0444,Sincerewatch HK,Sincere Watch (Hong Kong) Ltd.,开曼群岛,--,--,153,2005-10-17,--,,钟表,于香港、澳门、台湾及中国从事华贵品牌手表、时计及配件之分销业务、饮食业务以及物业投资。
412,HK0445,中国消防,中国消防企业集团有限公司,开曼群岛,99110.40,6415.10,567,2002-09-30,--,,电子元器件,生产及销售消防车；及生产及销售消防设备。
413,HK0449,志高控股,志高控股有限公司,开曼群岛,555366.40,-6350.60,13196,2009-07-13,--,,家电,设计开发、制造及销售空调产品。
414,HK0450,鸿兴印刷集团,鸿兴印刷集团有限公司,香港,146362.80,-3300.10,9219,1992-03-16,--,,包装印刷,书籍及包装印刷；消费产品包装；瓦通纸箱；及纸张贸易。
415,HK0451,协鑫新能源,协鑫新能源控股有限公司,百慕达,270418.50,48857.90,6233,1992-03-25,--,,新能源,从事光伏电站之开发、建设、经营及管理，以及印刷线路板之制造及销售。
416,HK0455,天大药业,天大药业有限公司,开曼群岛,--,--,422,1992-03-30,--,,药品,研发、生产和销售医药生物及保健产品。
417,HK0456,新城市建设发展,新城市建设发展集团有限公司,开曼群岛,3628.40,-1637.80,51,1993-07-14,--,,地产投资,在中国从事物业发展及投资。
418,HK0458,联亚集团,联亚集团有限公司,百慕达,98384.80,-8393.50,9880,1988-01-06,--,,服装配套,制衣及品牌产品分销、零售及贸易。
419,HK0459,美联工商铺,美联工商铺有限公司,开曼群岛,41099.90,4988.80,676,2001-03-15,--,,房地产服务,于香港提供工商物业及商铺物业代理服务。
420,HK0460,四环医药,四环医药控股集团有限公司,百慕达,127830.60,78622.90,3292,2010-10-28,--,,药品,于中国制造及销售医药产品。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
421,HK0462,天然乳品,天然乳品(新西兰)控股有限公司,开曼群岛,--,--,211,2005-06-10,--,,乳制品,贸易食品及饮品及乳品相关产品、制造及销售饮品及乳品相关产品。
422,HK0464,建福集团,建福集团控股有限公司,开曼群岛,--,--,1515,2005-06-16,--,,家电,设计、制造和销售电子美发产品、电子保健产品和其他小型家庭电器。
423,HK0465,富通科技,富通科技发展控股有限公司,开曼群岛,109647.00,930.70,521,2009-12-04,--,,计算机设备,提供企业资讯科技基础架构产品、服务及解决方案。
424,HK0467,联合能源集团,联合能源集团有限公司,百慕达,238853.10,90129.90,930,1992-04-08,--,,油气开采,于巴基斯坦勘探及生产原油及天然气；以及采用专利技术提供油田支援服务。
425,HK0468,纷美包装,纷美包装有限公司,开曼群岛,121921.30,17508.00,1232,2010-12-09,--,,包装印刷,从事乳制品及非碳酸软饮料纸包装材料及灌装机的生产、分销及销售。
426,HK0469,凯普松国际,凯普松国际电子有限公司,开曼群岛,56675.50,1835.80,2515,2007-05-07,--,,电子元器件,生产及销售铝质电解电容器及铝箔。
427,HK0471,中播控股,中国移动多媒体广播控股有限公司,开曼群岛,--,--,30,2005-10-10,--,,卫星及无线通信,提供融合移动电视和多媒体广播及贸易印刷线路板服务。
428,HK0472,新丝路文旅,新丝路文旅有限公司,百慕达,15086.40,-2074.70,971,1988-01-29,--,,葡萄酒,于中国生产及销售自家品牌之葡萄酒、青稞酒及中国白酒；于南韩开发及经营房地产、文化旅游业务；及于南韩济州经营博彩业务。
429,HK0474,昊天发展集团,昊天发展集团有限公司,开曼群岛,--,--,316,2006-06-06,--,,信贷,金融服务、证券投资、期货交易及物流及仓储业务。
430,HK0475,中发展控股,中发展控股有限公司,开曼群岛,--,--,29,2007-04-17,--,,珠宝首饰,于中国从事设计、制造及批发真品珠宝产品。
431,HK0476,中国动力控股,中国动力(控股)有限公司,百慕达,--,--,267,1996-05-24,--,,铜,投资控股、金属及矿物买卖、开发新能源业务及原矿石及矿产资源处理。
432,HK0479,华建控股,华建控股有限公司,百慕达,7766.60,-12725.30,44,1993-07-21,--,,计算机设备,"分销伺服器储存、多媒体及通讯产品,借贷,证券投资,以及分销电饭煲及家庭电器。"
433,HK0480,香港兴业国际,香港兴业国际集团有限公司,开曼群岛,--,--,2436,1988-03-11,--,,房地产,发展及管理住宅楼宇及休闲项目并为其提供必需及康乐服务、其他物业发展、物业投资、酒店经营及提供医疗保健服务。
434,HK0482,圣马丁国际,圣马丁国际控股有限公司,百慕达,73996.20,-10727.10,2212,2005-05-12,--,,消费电子,买卖及制造媒体娱乐平台相关产品及其他多媒体产品，整合讯号系统及交通通讯网络，卫星电视及天线贸易。
435,HK0483,包浩斯国际,包浩斯国际(控股)有限公司,开曼群岛,--,--,1222,2005-05-12,--,,服装,生产及买卖成衣及配饰。
436,HK0484,云游控股,云游控股有限公司,开曼群岛,20583.70,-28667.40,303,2013-10-03,--,,软件开发,在中国从事网页游戏及移动游戏研发和发行。
437,HK0485,中国华星,中国华星集团有限公司,百慕达,--,--,55,1988-04-12,--,,消费电子,设计、销售电子产品；水电站运营及管理；以及物业投资及证券买卖之业务。
438,HK0486,俄铝,俄铝,泽西群岛,--,--,61138,2010-01-27,--,,铝,生产及销售铝(包括合金及增值产品)；策略投资，包括于NorilskNickel及煤炭业务的投资。
439,HK0487,实德环球,实德环球有限公司,百慕达,47854.90,1420.50,182,1988-05-03,--,,旅游服务,旅游相关业务、彩票业务及物业投资业务。
440,HK0488,丽新发展,丽新发展有限公司,香港,--,--,1600,1988-03-11,--,,地产投资,物业发展供出售用途、物业投资，酒店与餐厅之投资及经营，以及投资控股。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
441,HK0489,东风集团股份,东风汽车集团股份有限公司,中国湖北省,5792200.00,828100.00,149092,2005-12-07,--,,汽车制造,是制造和销售汽车、发动机及其他汽车零部件，并提供金融服务。
442,HK0491,英皇文化产业,英皇文化产业集团有限公司,百慕达,9120.20,-15811.30,203,1992-06-10,--,,影视,电影及电视节目制作及投资；戏院营运；表演项目制作及投资、音乐制作及其他；及证券投资。
443,HK0493,国美零售,国美零售控股有限公司,百慕达,3470611.50,-72096.70,39771,1992-04-15,--,,家电,在中国经营及管理电器、电子消费品零售门店及电子产品在线销售网络。
444,HK0494,利丰,利丰有限公司,百慕达,--,--,21047,1992-07-01,--,,服装配套,贸易、物流及分销消费产品。
445,HK0495,Paladin,百利大有限公司,百慕达,754.20,1202.20,32,1988-07-20,--,,地产投资,投资控股、物业发展及物业投资。
446,HK0496,卡森国际,卡森国际控股有限公司,开曼群岛,104603.60,8964.10,3400,2005-10-20,--,,家具家居,制造软体家俱；物业发展；及经营旅游相关度假区。
447,HK0497,资本策略地产,资本策略地产有限公司,百慕达,--,--,--,1992-04-15,--,,房地产,物业投资及买卖以及酒店营运；物业控股；证券买卖及投资。
448,HK0498,保华集团,保华集团有限公司,百慕达,--,--,1486,1993-09-21,--,,房屋建筑,发展港口设施及港口相关物业，营运港口、液化石油气及物流业务，发展、销售及租赁房地产物业及已平整土地，提供信贷服务及证券买卖。
449,HK0499,青岛控股,青岛控股国际有限公司,百慕达,--,--,11,1988-07-22,--,,地产投资,物业租赁、物业投资(经合营企业)、停车场分租及贷款融资。
450,HK0500,先丰服务集团,先丰服务集团有限公司,百慕达,34819.90,-12662.70,449,1988-07-29,--,,航空运输,提供航空及物流服务及提供线上金融市场资讯业务。
451,HK0503,朗生医药,朗生医药控股有限公司,开曼群岛,--,--,835,2010-05-07,--,,药品,制造及买卖药品。
452,HK0505,欢悦互娱,欢悦互娱控股有限公司,开曼群岛,255729.70,4863.80,1212,2007-12-27,--,,铜,制造及销售高精度铜板带、买卖原材料、提供加工服务、管理投资组合以及开发、经营及分销互联网及移动游戏产品。
453,HK0506,中国食品,中国食品有限公司,百慕达,869778.00,44832.40,24421,1988-10-07,--,,葡萄酒,葡萄酒及其他相关饮料产品的生产、销售及贸易；生产及分销巧克力及其他相关产品；加工及分销碳酸饮料及其他相关饮料；分销小包装食用油。
454,HK0508,鼎亿集团投资,鼎亿集团投资有限公司,百慕达,--,--,36,1988-10-26,--,,信贷,证券买卖业务；酒类买卖业务；餐饮－餐厅业务；贷款融资业务及金属买卖业务。
455,HK0509,世纪阳光,世纪阳光集团控股有限公司,开曼群岛,220776.30,21397.60,4580,2004-02-17,--,,化肥,农业肥料业务、金属镁产品业务、炼钢熔剂业务和电子产品业务。
456,HK0510,时富金融服务集团,时富金融服务集团有限公司,百慕达,7821.90,-5218.70,171,2000-12-15,--,,证券,提供证券、期货、期权及互惠基金以及保险相关投资产品之网上及传统经纪业务；证券及期权之投资；提供保证金融资、贷款服务及企业融资服务。
457,HK0511,电视广播,电视广播有限公司,香港,223058.50,22743.60,4341,1988-11-23,--,,有线电视,免费电视广播、节目制作及与电视广播有关的其他业务。
458,HK0512,远大医药,远大医药健康控股有限公司,百慕达,323595.20,33830.60,7498,1995-12-19,--,,药品,于中国制造及销售医药制剂及医疗器械、生物技术产品及营养产品、精品原料药和其他产品。
459,HK0513,恒和集团,恒和珠宝集团有限公司,香港,39188.20,35475.50,639,1988-11-08,--,,珠宝首饰,设计、制造、推广及买卖珠宝首饰及钻石；物业投资；采矿业务；投资。
460,HK0515,达进东方照明,达进东方照明控股有限公司,开曼群岛,18943.10,-6107.00,1209,2006-06-23,--,,电子元器件,制造及买卖单面印刷电路板(PCB)、双面PCB及多层PCB及发光二极管(LED)照明。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
461,HK0517,中远海运国际,中远海运国际(香港)有限公司,百慕达,478764.50,18844.30,856,1992-02-11,--,,港口运输,提供航运服务及一般贸易。
462,HK0518,同得仕,同得仕(集团)有限公司,香港,--,--,3700,1988-12-15,--,,女装,成衣制造及销售。
463,HK0519,实力建业,实力建业集团有限公司,百慕达,374.30,1063.80,24,1986-03-24,--,,地产投资,度假村及物业发展；物业投资；及投资控股。
464,HK0520,呷哺呷哺,呷哺呷哺餐饮管理(中国)控股有限公司,开曼群岛,212907.30,20935.80,16888,2014-12-17,--,,餐饮,于中国经营快速休闲餐厅及提供餐饮服务。
465,HK0521,CWT Int'l,CWT International Limited,香港,3626479.50,-57337.90,766,1988-12-23,--,,信息化服务,休闲及旅游服务（包括经营高尔夫球会及提供酒店及休闲服务）；及开发及提供系统整合解决方案、系统设计及销售系统硬件。
466,HK0522,ASM Pacific,ASM Pacific Technology Ltd.,开曼群岛,961637.70,139744.80,14500,1989-01-03,--,,半导体,设计、制造及销售半导体工业及电子装嵌工业所用之器材、工具及物料。
467,HK0524,e-Kong Group,e-Kong Group Ltd.,百慕达,3017.20,6464.10,107,1989-04-21,--,,通信服务,电讯服务、透过电子商务平台提供金融支付处理解决方案及软件开发服务及分销业务以及其他业务（指提供保险相关产品分销服务及顾问服务）。
468,HK0525,广深铁路股份,广深铁路股份有限公司,中国广东省,952777.30,65158.50,43206,1996-05-14,--,,铁路运输,铁路客货运输服务
469,HK0526,利时集团控股,利时集团(控股)有限公司,百慕达,--,--,1939,1995-10-11,--,,家具家居,家用品之制造及贸易、经营百货公司及超级市场、酒类及饮品及电器批发，以及投资控股。
470,HK0527,瑞风新能源,中国瑞风新能源控股有限公司,开曼群岛,20744.50,4414.00,140,2006-06-09,--,,新能源,风力发电及风机叶片制造。
471,HK0528,金达控股,金达控股有限公司,开曼群岛,51340.10,2248.10,2627,2006-12-12,--,,纺织品,生产及销售亚麻纱。
472,HK0529,SIS Int'l,新龙国际集团有限公司,百慕达,320836.40,16419.60,95,1992-08-18,--,,通信设备,投资控股；物业投资；分销流动及资讯科技产品；提供硬件、软件及企业管理服务；分销流动电话产品。
473,HK0530,高银金融,高银金融(集团)有限公司,百慕达,79334.20,177155.90,345,1992-10-08,--,,信贷,提供保理服务、金融投资、酒品及酒品相关业务、物业发展及投资，以及出版刊物。
474,HK0531,顺诚,顺诚控股有限公司,--,--,--,7900,--,--,,--,制造及销售家，家贸易及采购服务，投资控股。
475,HK0532,WKK Intl,Wong's Kong King International (Holdings) Limited,百慕达,253276.60,3547.00,5255,1989-07-10,--,,电子元器件,贸易及分销用以制造印刷电路板及电子产品之化学品、物料及设备及为原产品客户制造电器及电子产品。
476,HK0533,金利来集团,金利来集团有限公司,香港,78315.60,17109.60,1850,1992-09-18,--,,男装,分销及制造服装、皮具及配饰和商标授权业务，投资及发展物业。
477,HK0535,金地商置,金地商置集团有限公司,百慕达,172692.80,69141.90,2313,1989-10-16,--,,房地产,物业投资、发展及管理其住宅、写字楼及商业园之项目。
478,HK0536,贸易通,贸易通电子贸易有限公司,香港,12507.30,3832.10,258,2005-10-28,--,,电商及互联网,提供处理若干政府贸易文件的政府电子贸易服务GETS，电子商贸服务及保安解决方案等。
479,HK0538,味千,味千(中国)控股有限公司,开曼群岛,115344.80,13377.00,10252,2007-03-30,--,,餐饮,餐厅经营以及拉面及相关产品之生产及销售。
480,HK0539,冠华国际控股,冠华国际控股有限公司,百慕达,--,--,7040,1996-05-13,--,,纺织品,生产与销售针织布料及色纱、成衣制品以及树脂。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201806),净利润(201806),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
481,HK0540,迅捷环球控股,迅捷环球控股有限公司,开曼群岛,38214.60,407.80,425,2013-01-15,--,,服装配套,服装供应链服务业务，服装零售业务，物业投资及发展。
482,HK0542,富元国际集团,富元国际集团有限公司,开曼群岛,823.60,-5646.20,48,1989-11-23,--,,酒店,于中国从事物业发展及酒店业务。
483,HK0543,太平洋网络,太平洋网络有限公司,开曼群岛,45933.10,5200.80,1349,2007-12-18,--,,电商及互联网,提供不同商品的互联网广告服务。
484,HK0544,大同集团,大同集团有限公司,百慕达,14380.40,-1707.40,310,1989-12-14,--,,物流,提供冷冻仓库及相关服务、于中国提供贸易及相关服务、贷款服务以及投资控股。
485,HK0546,阜丰集团,阜丰集团有限公司,开曼群岛,661022.20,31499.80,7500,2007-02-08,--,,食品添加剂,制造及销售发酵食品添加剂、生化产品及淀粉产品。
486,HK0547,数字王国,数字王国集团有限公司,百慕达,34240.50,-22911.20,987,1992-07-06,--,,影视,媒体娱乐业务及物业投资业务。
487,HK0548,深圳高速公路股份,深圳高速公路股份有限公司,中国深圳市,267752.28,104043.10,4809,1997-03-12,--,,公路运输,收费公路和道路的投资、建设及经营管理
488,HK0549,奇峰化纤,吉林奇峰化纤股份有限公司,中国吉林省吉林市吉林高新技术开发区恒山西路D区4座,--,--,1719,--,--,,--,制造及销售腈纶纤维产品。
489,HK0550,KK文化,KK文化控股有限公司,百慕达,3840.40,-4226.10,55,2000-07-20,--,,传媒广告,提供广告服务。
490,HK0551,裕元集团,裕元工业(集团)有限公司,百慕达,--,--,360000,1992-07-02,--,,鞋类,制造及经销运动鞋、运动型休闲鞋、便服鞋及户外鞋。
491,HK0552,中国通信服务,中国通信服务股份有限公司,中国北京市,5079210.00,160349.80,97000,2006-12-08,--,,通信设备,在中国及海外提供电信相关支撑服务，包括电信基建服务之设计、施工及项目监理；业务流程外判；及其他服务。
492,HK0553,南京熊猫电子股份,南京熊猫电子股份有限公司,中国南京市,199362.98,7604.30,3819,1996-05-02,--,,通信设备,电子装备、消费电子产品的研发、生产和销售以及电子制造服务。
493,HK0554,汉思能源,汉思能源有限公司,开曼群岛,16171.20,614.00,460,1997-05-28,--,,气油设备与服务,提供石油和石化产品码头、转输、仓库及贮存设施服务。
494,HK0555,御泰中彩控股,御泰中彩控股有限公司,百慕达,11159.90,-14343.00,557,2000-09-28,--,,彩票,于中国从事彩票系统与游戏开发业务及彩票产品配送与市场推广业务。
495,HK0556,泛亚环保,泛亚环保集团有限公司,开曼群岛,4590.40,-2192.50,110,2007-12-21,--,,环保工程,于中国从事销售管道、水处理及烟气处理产品及设备，以及承接环保建设工程项目及制造及销售环保建筑材料。
